名字,费用,三维,特性,魔法
农夫约翰,1,1/0/2,和平,收获：消耗 4 法力，摸一张牌（初始法力 3/4）
木乃伊,2,2/0/6,,亡语·诅咒：所有敌方随从攻击 -1
木乃伊王,5,3/1/6,,亡语·诅咒：所有敌方随从攻击 -1
盗贼,1,2/0/1,,
游牧民,3,3/0/3,骑兵,
仙女龙,7,5/0/8,飞行，法术护盾2,
水晶龙,8,7/0/12,,
锈龙,8,6/0/14,毒Lv2,
圣龙,9,8/0/16,法术护盾2,
护体石肤,2,-,,法术·土系：目标友方单位护甲 +3（永久）
迟缓,2,-,,法术·土系：目标敌方单位攻击 -3（最低 0）
地刺,3,-,,法术·土系：对敌方前排所有单位造成 3 点伤害
死亡波纹,5,-,,法术·土系：对双方场上所有非墓园单位造成 3 点伤害
治疗,2,-,,法术·水系：己方英雄恢复 7 点生命
冰箭,2,-,,法术·水系：对目标敌方单位造成 4 点伤害
祝福,3,-,,法术·水系：全场友方单位 +2 攻击
驱散,2,-,,法术·水系：移除目标敌方单位全部增益并解除中毒
火球术,3,-,,法术·火系：对目标敌方单位造成 2~7 点伤害
嗜血奇术,3,-,,法术·火系：全场友方单位 +3 攻击
烈火神盾,3,-,,法术·火系：目标友方单位获得「反击2」（重复无效）
末日审判,8,-,,法术·火系：对双方场上所有单位造成 6 点伤害
闪电箭,3,-,,法术·气系：对目标敌方单位造成 5 点伤害
连锁闪电,5,-,,法术·气系：对最多 3 个敌方单位各造成 4 点伤害（从攻击最高者开始）
召唤气元素,6,-,,法术·气系：召唤一个【气元素】（4/0/5 飞行）
护体神盾,3,-,,法术·土系：全场友方单位护甲 +2
陨石,4,-,,法术·土系：对目标及同排左右相邻单位各造成 4 点伤害
复活术,5,-,,法术·土系：从己方墓地复活最后死亡的一张单位卡到其原排
治疗波动,4,-,,法术·水系：全场友方单位恢复 4 点生命
镜像术,4,-,,法术·水系：在同排召唤一个目标友方单位的复制（复制当前数值与姿态）
传送,2,-,,法术·水系：将目标友方单位收回手牌（不退法力）
烧灼,2,-,,法术·火系：对目标敌方单位造成 3 点伤害
地狱烈焰,6,-,,法术·火系：对敌方全场造成 4 点伤害
混乱,3,-,,法术·火系：目标敌方单位士气 -6（最低 -10）
龙卷,4,-,,法术·气系：消灭一个随机敌方飞行单位
鼓舞,2,-,,法术·气系：全场友方单位士气 +3（最高 10）
召唤雷元素,5,-,,法术·气系：在空中区域召唤一个【雷元素】（4/0/6 飞行）
雷鸣爆弹,6,-,,法术·土系：对目标敌方单位造成 9 点伤害
聚灵奇术,5,-,,法术·土系：复活己方墓地最后死亡的一张墓园单位卡，以其最大生命一半（向上取整）的生命入场到原排
召唤土元素,7,-,,法术·土系：召唤一个【土元素】（5/1/7）
流沙,3,-,,法术·土系：敌方前排所有单位攻击 -2（最低 0）
失忆,4,-,,法术·水系：移除目标敌方单位的「远程」特性
召唤水元素,7,-,,法术·水系：召唤一个【水元素】（3/0/7）
流星火雨,7,-,,法术·火系：对随机至多 4 个敌方单位各造成 5 点伤害（守备加权，不重复）
召唤火元素,7,-,,法术·火系：召唤一个【火元素】（5/0/5，带火系魔法免疫）
狂暴,3,-,,法术·火系：目标友方单位攻击 +4 并中毒 Lv1
龙卷风,3,-,,法术·气系：随机重排敌方阵型：地面单位随机分配到前/中/后三排（飞行单位不动）
大气神盾,2,-,,法术·气系：目标友方单位获得「法术护盾3」（重复无效）
召唤骷髅兵,3,-,,法术·土系：选择敌方或我方墓地任意一个单位除外，召唤（其费用÷2 向上取整 + 1）个骷髅兵到我方前排
召唤史莱姆,0,-,,法术·水系：消耗所有剩余法力，召唤等量史莱姆到前排；数量大于 4 时每 4 个史莱姆换成 1 个巨型史莱姆
