名字,费用,三维,特性,魔法
枪兵,1,2/0/3,拒马,
弓箭手,2,1/0/2,远程,
戟兵,2,3/0/5,,
狮鹫,3,3/0/7,飞行,
十字军,4,5/1/7,,
圣骑士,5,4/0/8,法力燃烧2，驱魔,
祭司,5,2/0/6,远程,战吼·祈祷：其他友方使魔 +1攻/+2血
骑兵,6,3/0/12,骑兵,
女武神,7,8/0/15,,
民兵,0,1/0/1,,
飞鹰,2,1/0/2,飞行,
剑士,2,2/0/6,,
弩手,3,2/0/3,远程，护甲穿透2,
医护兵,3,1/0/4,,战吼：己方英雄恢复 3 点生命
重装卫兵,4,2/2/8,,
游侠,4,3/0/4,远程,
圣殿骑士,6,5/1/9,法术护盾1,
大祭司,6,3/0/8,远程,战吼·祈祷：其他友方使魔 +1攻/+2血
龙骑士,7,6/0/10,骑兵，飞行,
神射手,3,2/0/3,远程，连击,
皇家狮鹫,4,4/0/8,飞行，反击2,
僧侣,4,2/0/5,远程,
骑士,7,6/0/12,骑兵,
天使,8,7/0/14,飞行,
大天使,9,8/0/16,飞行,战吼·复活：将墓地中最后死亡的一张随从满状态复活到其原排
