名字,费用,三维,特性,魔法
骷髅,1,1/0/2,,亡语：从牌库检索一张同名卡置入手牌
幽灵,3,3/0/5,再生2,
吸血鬼,4,3/0/7,吸血,
死灵法师,5,2/0/6,远程,战吼·招魂术：召唤一个【骷髅】
死神,6,2/0/4,,战吼：消灭攻击力最高的敌方随从
死亡骑士,6,3/1/9,骑兵,
骨龙,7,3/0/9,,打出时除外己方墓地，每张除外牌使费用 -1
吸血蝙蝠,2,1/0/2,飞行，吸血,
骷髅弓手,2,1/0/2,远程,亡语：从牌库检索一张同名卡置入手牌
僵尸,2,2/0/4,再生1,
怨灵,3,3/0/4,飞行,
亡语者,3,2/0/3,,亡语·诅咒：所有敌方随从攻击 -1
死灵学士,3,1/0/3,,战吼·招魂术：召唤一个【骷髅】
尸巫,5,3/0/5,远程，毒Lv2,
吸血鬼伯爵,6,4/0/8,飞行，吸血,
憎恶,6,5/1/13,,
骸骨巨龙,8,5/0/9,飞行,打出时除外己方墓地，每张除外牌使费用 -1
行尸,2,2/0/5,,
骷髅勇士,2,2/0/3,,
阴魂,4,3/0/6,再生2,
尸巫王,6,4/0/6,远程，毒Lv2,
恐怖骑士,7,5/1/10,骑兵,
鬼龙,8,6/0/12,飞行,
