名字,费用,三维,特性,魔法
小精灵,0,1/0/1,,战吼：本轮法力 +1
史莱姆,1,1/0/2,再生1,分裂：消耗 1 法力，生命为偶数时一分为二（各半血，其它 buff/特效保留）（初始法力 0/1）
半人马,1,1/0/3,骑兵,
精灵,3,0/0/3,,战吼：本轮法力 +1，英雄恢复 2 点生命
棕熊,4,5/0/9,,
魔女,4,1/0/6,远程,火球：消耗 1 法力，对随机一个敌方随从造成 1~6 点法术伤害（初始法力 2/2）
巨型史莱姆,4,3/0/6,再生1,分裂：消耗 1 法力，生命为偶数时一分为二（各半血，其它 buff/特效保留）（初始法力 0/1）
龙女,7,0/0/6,,下一轮准备阶段开始时变形为【绿龙】(8/0/16)并恢复 4 点生命（期间可被击杀）
独角兽骑士,6,3/0/9,骑兵，法术护盾2,
妖精,0,0/0/1,,战吼：本轮法力 +1
林狼,2,2/0/2,骑兵,
恐狼,2,2/0/2,恐狼光环,
毒藤,2,1/0/3,毒Lv2,
树精,3,1/1/6,再生1,
鹰骑士,4,2/0/4,飞行，骑兵,
精灵法师,4,2/0/4,远程,火球：消耗 1 法力，对随机一个敌方随从造成 1~6 点法术伤害（初始法力 2/2）
风行者,5,3/0/5,远程，骑兵,
史莱姆王,5,4/0/8,再生2,分裂：消耗 1 法力，生命为偶数时一分为二（各半血，其它 buff/特效保留）（初始法力 0/1）
远古树人,6,4/1/12,再生2,
麒麟,7,6/0/12,再生2，法术护盾2,
半人马首领,1,2/0/3,骑兵,
矮人,2,2/1/4,法术护盾1,
木精灵,2,1/0/2,远程,
战斗矮人,3,3/1/5,法术护盾1,
大精灵,3,2/0/3,远程，连击,
飞马,3,2/0/4,飞行,
银飞马,4,3/0/5,飞行,
金龙,8,7/0/14,飞行，法术护盾3,
