阵营,名字,费用,三维,特性,魔法/效果,类型,系别,评分
城堡,枪兵,1,2/0/3,拒马,,单位,,61
中立,农夫约翰,1,1/0/2,和平,收获：消耗 4 法力，摸一张牌（初始法力 3/4）,单位,,56
城堡,弓箭手,2,1/0/2,远程,,单位,,60
城堡,戟兵,2,3/0/5,,,单位,,60
城堡,狮鹫,3,3/0/7,飞行,,单位,,63
城堡,十字军,4,5/1/7,,,单位,,60
城堡,圣骑士,5,4/0/8,法力燃烧2，驱魔,,单位,,58
城堡,祭司,5,2/0/6,远程,战吼·祈祷：其他友方使魔 +1攻/+2血,单位,,66
城堡,骑兵,6,3/0/12,骑兵,,单位,,58
城堡,女武神,7,8/0/15,,,单位,,60
壁垒,小精灵,0,1/0/1,,战吼：本轮法力 +1,单位,,58
壁垒,史莱姆,1,1/0/2,再生1,分裂：消耗 1 法力，生命为偶数时一分为二（各半血，其它 buff/特效保留）（初始法力 0/1）,单位,,57
壁垒,半人马,1,1/0/3,骑兵,,单位,,63
壁垒,精灵,3,0/0/3,,战吼：本轮法力 +1，英雄恢复 2 点生命,单位,,53
塔楼,石头人,3,4/0/7,,,单位,,60
壁垒,棕熊,4,5/0/9,,,单位,,60
壁垒,魔女,4,1/0/6,远程,火球：消耗 1 法力，对随机一个敌方随从造成 1~6 点法术伤害（初始法力 2/2）,单位,,58
壁垒,巨型史莱姆,4,3/0/6,再生1,分裂：消耗 1 法力，生命为偶数时一分为二（各半血，其它 buff/特效保留）（初始法力 0/1）,单位,,51
壁垒,龙女,7,0/0/6,,下一轮准备阶段开始时变形为【绿龙】(8/0/16)并恢复 4 点生命（期间可被击杀）,单位,,55
壁垒,独角兽骑士,6,3/0/9,骑兵，法术护盾2,,单位,,56
要塞,蛇,1,1/0/3,毒Lv1,,单位,,60
地下城,鹰身女妖R,2,1/0/5,飞行，三姐妹,,单位,,61
地下城,鹰身女妖G,2,1/0/5,飞行，三姐妹,,单位,,61
地下城,鹰身女妖B,2,1/0/5,飞行，三姐妹,,单位,,61
塔楼,钻石人,4,4/1/8,,,单位,,60
地下城,蝎狮,6,5/0/14,毒Lv3,,单位,,62
地狱,魅魔,6,1/0/4,,战吼：随机获得一个敌方随从的控制权,单位,,61
要塞,九头怪,7,3/0/18,范围攻击,,单位,,60
墓园,骷髅,1,1/0/2,,亡语：从牌库检索一张同名卡置入手牌,单位,,55
塔楼,石像鬼,2,2/1/2,石化,,单位,,59
中立,木乃伊,2,2/0/6,,亡语·诅咒：所有敌方随从攻击 -1,单位,,66
墓园,幽灵,3,3/0/5,再生2,,单位,,59
墓园,吸血鬼,4,3/0/7,吸血,,单位,,57
墓园,死灵法师,5,2/0/6,远程,战吼·招魂术：召唤一个【骷髅】,单位,,59
墓园,死神,6,2/0/4,,战吼：消灭攻击力最高的敌方随从,单位,,58
墓园,死亡骑士,6,3/1/9,骑兵,,单位,,53
墓园,骨龙,7,3/0/9,,打出时除外己方墓地，每张除外牌使费用 -1,单位,,58
城堡,民兵,0,1/0/1,,,单位,,60
城堡,飞鹰,2,1/0/2,飞行,,单位,,57
城堡,剑士,2,2/0/6,,,单位,,60
城堡,弩手,3,2/0/3,远程，护甲穿透2,,单位,,58
城堡,医护兵,3,1/0/4,,战吼：己方英雄恢复 3 点生命,单位,,53
城堡,重装卫兵,4,2/2/8,,,单位,,60
城堡,游侠,4,3/0/4,远程,,单位,,54
城堡,圣殿骑士,6,5/1/9,法术护盾1,,单位,,54
城堡,大祭司,6,3/0/8,远程,战吼·祈祷：其他友方使魔 +1攻/+2血,单位,,64
城堡,龙骑士,7,6/0/10,骑兵，飞行,,单位,,56
城堡,神射手,3,2/0/3,远程，连击,,单位,,62
城堡,皇家狮鹫,4,4/0/8,飞行，反击2,,单位,,61
城堡,僧侣,4,2/0/5,远程,,单位,,55
城堡,骑士,7,6/0/12,骑兵,,单位,,58
城堡,天使,8,7/0/14,飞行,,单位,,58
城堡,大天使,9,8/0/16,飞行,战吼·复活：将墓地中最后死亡的一张随从满状态复活到其原排,单位,,66
壁垒,妖精,0,0/0/1,,战吼：本轮法力 +1,单位,,56
壁垒,林狼,2,2/0/2,骑兵,,单位,,57
壁垒,恐狼,2,2/0/2,恐狼光环,,单位,,57
壁垒,毒藤,2,1/0/3,毒Lv2,,单位,,56
壁垒,树精,3,1/1/6,再生1,,单位,,58
壁垒,鹰骑士,4,2/0/4,飞行，骑兵,,单位,,54
壁垒,精灵法师,4,2/0/4,远程,火球：消耗 1 法力，对随机一个敌方随从造成 1~6 点法术伤害（初始法力 2/2）,单位,,62
壁垒,风行者,5,3/0/5,远程，骑兵,,单位,,55
壁垒,史莱姆王,5,4/0/8,再生2,分裂：消耗 1 法力，生命为偶数时一分为二（各半血，其它 buff/特效保留）（初始法力 0/1）,单位,,57
壁垒,远古树人,6,4/1/12,再生2,,单位,,63
壁垒,麒麟,7,6/0/12,再生2，法术护盾2,,单位,,58
壁垒,半人马首领,1,2/0/3,骑兵,,单位,,64
壁垒,矮人,2,2/1/4,法术护盾1,,单位,,62
壁垒,木精灵,2,1/0/2,远程,,单位,,60
壁垒,战斗矮人,3,3/1/5,法术护盾1,,单位,,60
壁垒,大精灵,3,2/0/3,远程，连击,,单位,,62
壁垒,飞马,3,2/0/4,飞行,,单位,,55
壁垒,银飞马,4,3/0/5,飞行,,单位,,53
壁垒,金龙,8,7/0/14,飞行，法术护盾3,,单位,,61
地狱,小恶魔,1,2/0/1,飞行,,单位,,61
要塞,毒蜘蛛,2,2/0/2,毒Lv1,,单位,,54
墓园,吸血蝙蝠,2,1/0/2,飞行，吸血,,单位,,62
地狱,双头犬,3,5/0/6,,,单位,,60
要塞,石像魔,4,3/2/5,石化,,单位,,59
地狱,火蜥蜴,5,3/0/6,范围攻击,,单位,,48
地下城,鹰身女妖女王,5,3/0/7,飞行，三姐妹,,单位,,62
地狱,地狱三头犬,6,5/0/8,范围攻击,,单位,,50
地狱,魅魔女王,7,2/0/6,,战吼：随机获得一个敌方随从的控制权,单位,,64
地狱,深渊巨口,8,10/0/16,,,单位,,60
地狱,魔童,1,1/0/2,,,单位,,56
地狱,歌革,2,1/0/2,远程,,单位,,60
地狱,地狱猎犬,3,3/0/3,骑兵,,单位,,55
地狱,玛各,4,2/0/4,远程，范围攻击,,单位,,56
地狱,恶鬼,4,4/0/6,,,单位,,52
地狱,火精灵,5,4/0/6,飞行，火系魔法免疫,,单位,,53
地狱,长角恶鬼,5,5/0/7,,,单位,,50
地狱,邪神,5,4/1/7,,,单位,,52
地狱,烈火精灵,6,5/0/7,飞行，火系魔法免疫,,单位,,51
地狱,邪神王,6,5/1/8,,,单位,,50
地狱,恶魔,7,5/0/8,飞行，不受反击,,单位,,56
地狱,大恶魔,8,6/0/10,飞行，不受反击,,单位,,56
墓园,骷髅弓手,2,1/0/2,远程,亡语：从牌库检索一张同名卡置入手牌,单位,,55
墓园,僵尸,2,2/0/4,再生1,,单位,,58
墓园,怨灵,3,3/0/4,飞行,,单位,,57
墓园,亡语者,3,2/0/3,,亡语·诅咒：所有敌方随从攻击 -1,单位,,53
墓园,死灵学士,3,1/0/3,,战吼·招魂术：召唤一个【骷髅】,单位,,54
墓园,尸巫,5,3/0/5,远程，毒Lv2,,单位,,54
中立,木乃伊王,5,3/1/6,,亡语·诅咒：所有敌方随从攻击 -1,单位,,53
墓园,吸血鬼伯爵,6,4/0/8,飞行，吸血,,单位,,54
墓园,憎恶,6,5/1/13,,,单位,,60
墓园,骸骨巨龙,8,5/0/9,飞行,打出时除外己方墓地，每张除外牌使费用 -1,单位,,68
墓园,行尸,2,2/0/5,,,单位,,58
墓园,骷髅勇士,2,2/0/3,,,单位,,54
墓园,阴魂,4,3/0/6,再生2,,单位,,54
墓园,尸巫王,6,4/0/6,远程，毒Lv2,,单位,,52
墓园,恐怖骑士,7,5/1/10,骑兵,,单位,,53
墓园,鬼龙,8,6/0/12,飞行,,单位,,49
塔楼,小妖精,1,1/0/1,,,单位,,60
塔楼,大妖精,2,2/0/2,,,单位,,52
塔楼,石人,3,2/1/5,,,单位,,56
塔楼,铁人,4,3/2/5,,,单位,,56
塔楼,法师,4,2/0/4,远程,,单位,,52
塔楼,大法师,5,3/0/5,远程,,单位,,50
塔楼,灯神,5,4/0/6,飞行,,单位,,51
塔楼,神怪,6,5/0/7,飞行,,单位,,49
塔楼,蛇女,6,5/0/9,,,单位,,48
塔楼,蛇发女妖,7,6/0/10,,,单位,,46
塔楼,巨人,7,6/0/12,,,单位,,50
塔楼,泰坦,9,7/0/14,远程,,单位,,52
地下城,穴居人,1,2/0/1,,,单位,,56
地下城,地狱穴居人,2,3/0/2,,,单位,,54
地下城,邪眼,4,3/0/4,远程,,单位,,54
地下城,毒眼,5,3/0/5,远程，毒Lv1,,单位,,52
地下城,美杜莎,4,2/0/5,远程,,单位,,54
地下城,美杜莎女王,5,3/0/6,远程,,单位,,52
地下城,牛头人,5,5/0/6,,,单位,,48
地下城,牛头王,6,6/0/7,,,单位,,46
地下城,红龙,7,6/0/11,飞行,,单位,,53
地下城,黑龙,9,8/0/14,飞行，法术护盾3,,单位,,57
据点,大耳怪,1,2/0/1,,,单位,,56
据点,大耳怪王,1,2/0/2,,,单位,,58
据点,狼骑兵,2,2/0/2,骑兵,,单位,,57
据点,狼斗士,3,2/0/3,骑兵，连击,,单位,,63
据点,半兽人,2,1/0/3,远程,,单位,,60
据点,半兽人首领,3,2/0/4,远程,,单位,,58
据点,食人魔,4,4/0/7,,,单位,,54
据点,巨魔,4,3/0/5,再生2,,单位,,52
据点,食人魔王,5,5/0/8,,,单位,,52
据点,独眼巨人,6,5/0/9,,,单位,,48
据点,独眼巨人王,7,6/0/10,范围攻击,,单位,,50
据点,雷鸟,6,4/0/8,飞行,,单位,,49
据点,闪电鸟,7,5/0/9,飞行,,单位,,47
据点,比蒙,9,9/0/14,护甲穿透1,,单位,,50
据点,比蒙巨兽,10,10/0/17,护甲穿透2,,单位,,54
要塞,狼人,2,2/0/3,,,单位,,54
要塞,蜥蜴人,2,1/1/3,,,单位,,56
要塞,蜥蜴勇士,3,2/1/4,,,单位,,54
要塞,毒蝇,3,2/0/3,飞行,,单位,,53
要塞,龙蝇,4,3/0/4,飞行，毒Lv1,,单位,,53
要塞,石化蜥蜴,5,3/1/6,石化,,单位,,51
要塞,巨蜥,6,4/1/7,石化,,单位,,49
要塞,蛮牛,6,5/0/7,死亡凝视,,单位,,56
要塞,野牛,7,6/0/9,,,单位,,44
要塞,双足飞龙,6,4/0/7,飞行,,单位,,47
要塞,终极九头蛇,9,6/0/20,范围攻击,,单位,,58
元素,气元素,3,3/0/4,飞行,,单位,,57
元素,雷元素,4,3/0/5,飞行,,单位,,53
元素,水元素,3,2/0/6,,,单位,,54
元素,冰元素,4,3/0/7,,,单位,,52
元素,火元素,4,4/0/4,火系魔法免疫,,单位,,50
元素,烈火元素,5,5/0/5,火系魔法免疫,,单位,,48
元素,土元素,4,3/1/6,,,单位,,54
元素,石元素,5,4/1/7,,,单位,,52
元素,精神元素,6,4/0/8,法术护盾2,,单位,,48
元素,魔法元素,7,5/0/9,范围攻击,,单位,,46
元素,火鸟,7,5/0/9,飞行，再生1，火系魔法免疫,,单位,,51
元素,凤凰,8,6/0/10,飞行，再生2，火系魔法免疫,,单位,,51
中立,盗贼,1,2/0/1,,,单位,,56
中立,游牧民,3,3/0/3,骑兵,,单位,,55
中立,仙女龙,7,5/0/8,飞行，法术护盾2,,单位,,49
中立,水晶龙,8,7/0/12,,,单位,,46
中立,锈龙,8,6/0/14,毒Lv2,,单位,,52
